PC,udział,skumulowana
1,0.27544260441423446,0.27544260441423446
2,0.2267114570201237,0.5021540614343581
3,0.141486086641962,0.6436401480763201
4,0.08823200715191024,0.7318721552282303
5,0.06544317417745893,0.7973153294056893
6,0.05521015553537438,0.8525254849410636
7,0.04755988756427561,0.9000853725053393
8,0.04559184457610457,0.9456772170814438
9,0.03063854958110506,0.9763157666625488
10,0.020699614950835343,0.9970153816133842
11,0.002984618386615898,1.0
